,Date,Wind_m/s,Precipitation_mm,Target: Min_temp
316,2018.05.13,5.3,0.1,13.7
317,2018.05.14,5.7,0.0,11.4
318,2018.05.15,5.2,8.9,9.4
319,2018.05.16,6.5,0.8,12.8
320,2018.05.17,7.6,1.5,14.1
321,2018.05.18,7.1,1.8,12.7
322,2018.05.19,3.9,1.4,11.3
323,2018.05.20,4.9,0.0,14.0
324,2018.05.21,6.1,0.0,13.6
325,2018.05.22,4.8,0.6,15.7
326,2018.05.23,3.2,1.3,16.4
327,2018.05.24,5.7,0.0,18.1
328,2018.05.25,4.8,0.0,16.2
329,2018.05.26,2.0,0.0,17.2
330,2018.05.27,2.1,4.3,17.3
331,2018.05.28,3.3,0.0,18.2
332,2018.05.29,5.2,0.4,16.2
333,2018.05.30,5.4,0.0,17.0
334,2018.05.31,3.5,0.0,18.1
335,2018.06.01,2.5,0.0,18.5
336,2018.06.02,4.0,0.0,20.0
337,2018.06.03,5.8,0.0,17.3
338,2018.06.04,2.9,2.4,17.9
339,2018.06.05,2.1,6.5,17.3
340,2018.06.06,6.0,18.7,16.2
341,2018.06.07,5.2,0.9,17.6
342,2018.06.08,3.0,26.1,17.7
343,2018.06.09,3.1,31.0,19.1
344,2018.06.10,2.4,0.0,21.5
345,2018.06.11,3.4,0.0,19.2
346,2018.06.12,4.5,9.0,18.0
347,2018.06.13,4.3,1.7,17.0
348,2018.06.14,4.5,10.8,17.4
349,2018.06.15,5.3,6.2,18.2
350,2018.06.16,5.9,0.0,18.8
351,2018.06.17,4.3,0.0,18.2
352,2018.06.18,5.1,0.3,19.3
353,2018.06.19,3.9,2.7,20.4
354,2018.06.20,2.5,0.0,20.1
355,2018.06.21,3.8,0.6,13.7
356,2018.06.22,7.6,6.3,11.0
357,2018.06.23,5.1,0.0,10.4
358,2018.06.24,5.4,0.0,10.4
359,2018.06.25,2.7,0.0,11.6
360,2018.06.26,3.0,0.3,13.3
361,2018.06.27,6.3,1.3,15.8
362,2018.06.28,6.5,11.9,18.2
363,2018.06.29,5.2,8.4,14.1
364,2018.06.30,7.7,0.0,13.3
365,2018.07.01,4.2,0.0,9.6
366,2018.07.02,3.6,0.0,11.5
367,2018.07.03,3.0,0.0,12.0
368,2018.07.04,2.5,0.0,14.9
369,2018.07.05,2.9,1.1,17.0
370,2018.07.06,3.5,6.3,17.3
371,2018.07.07,5.1,10.1,15.1
372,2018.07.08,4.8,0.0,15.7
373,2018.07.09,3.0,0.3,16.1
374,2018.07.10,2.0,0.7,16.9
375,2018.07.11,6.0,3.9,13.6
376,2018.07.12,4.9,3.0,15.5
377,2018.07.13,6.2,0.0,16.7
378,2018.07.14,5.5,0.0,15.5
379,2018.07.15,4.7,0.0,15.4
380,2018.07.16,4.7,0.0,15.3
381,2018.07.17,5.5,0.0,19.0
382,2018.07.18,10.9,1.3,18.9
383,2018.07.19,9.2,3.7,18.3
384,2018.07.20,4.8,3.0,17.7
385,2018.07.21,2.5,0.0,17.8
386,2018.07.22,3.1,21.4,17.9
387,2018.07.23,4.5,20.3,17.4
388,2018.07.24,4.7,0.0,17.7
389,2018.07.25,3.1,0.0,17.9
390,2018.07.26,2.1,1.6,20.5
391,2018.07.27,3.5,6.3,19.3
